code,cx,cy,areaName,VeryBadHealth,BadHealth,FairHealth,GoodHealth,VeryGoodHealth,H>15,H16_30,H31_48,H<49
E09000009,515931.7885936869,181702.8797042038,Ealing,1.3,4.0,12.9,33.6,48.2,19422,31572,103442,20590
E09000010,532411.3564921287,196430.3674602536,Enfield,1.4,4.3,13.2,34.2,46.9,17931,32888,79164,13881
E09000011,542847.4484296726,177049.59643613698,Greenwich,1.5,4.7,13.6,32.9,47.3,13717,24120,87019,18081
E09000012,534352.2272905216,185472.56430440015,Hackney,2.2,5.7,14.1,29.5,48.5,14022,25452,76457,18379
E09000013,523532.75078713737,178905.46706615153,Hammersmith and Fulham,1.5,4.2,11.5,29.0,53.8,9497,13108,56608,18880
E09000014,531223.3712330252,189610.0783217248,Haringey,1.7,4.7,12.9,32.2,48.5,16523,26943,74963,15952
E09000015,514912.9155867948,190123.08817425984,Harrow,1.1,3.4,12.0,35.0,48.6,13761,22778,73682,14816
E09000016,554034.0287976732,187246.85820584567,Havering,1.1,3.6,12.3,34.8,48.2,12636,22574,76496,13075
E09000017,507903.34759925056,183581.0044549116,Hillingdon,1.1,3.6,12.7,35.2,47.4,14778,25736,87797,14492
E09000018,513593.3018499324,175667.2334997008,Hounslow,1.3,4.1,13.0,34.4,47.3,15624,24697,84207,14272
E09000019,531144.5851569846,185005.11248356264,Islington,2.1,5.8,13.7,29.8,48.6,11025,15871,67481,20593
E09000020,525607.7759619466,179508.75988916887,Kensington and Chelsea,1.2,3.7,10.1,26.9,58.0,7610,9995,33155,18680
E09000021,519322.65140971966,166695.0333161183,Kingston upon Thames,0.9,3.0,11.2,33.5,51.3,9292,14343,49806,10707
E09000022,530806.7749316508,174496.61602847948,Lambeth,1.5,4.5,13.0,31.2,49.9,16700,25925,112911,27282
E09000023,537679.5345788006,174051.52464272024,Lewisham,1.4,4.5,13.5,32.9,47.7,16083,28089,94030,17510
E09000024,525579.5788760191,169455.4490457082,Merton,1.0,3.3,11.6,33.1,51.0,11570,18726,66670,15099
E09000025,541467.4964760441,182854.7493116576,Newham,2.0,5.6,15.6,33.9,42.9,18670,34028,94325,16422
E09000026,543920.6227795669,189403.99388577632,Redbridge,1.3,3.9,13.1,35.4,46.4,16639,28204,81723,15062
E09000027,517366.00250774313,172864.22174221004,Richmond upon Thames,0.8,2.6,9.1,30.0,57.6,10880,14990,54047,17648
E09000028,533829.1353102751,176733.86750084575,Southwark,1.6,4.6,13.3,31.1,49.4,16582,25386,99680,25300
E09000029,526962.1851323749,164121.57293732394,Sutton,1.0,3.4,11.8,35.0,48.9,10702,18501,64135,10888
E09000030,536495.7110256397,181503.88412494093,Tower Hamlets,2.5,7.0,15.9,32.0,42.5,15607,25230,90675,23880
E09000031,537727.605120361,190192.297062234,Waltham Forest,1.5,4.6,13.7,34.3,45.9,15075,25668,84719,14909
E09000032,526053.8297030271,174145.10542962435,Wandsworth,1.1,3.6,11.3,29.7,54.4,15478,23170,115966,35828
E09000033,527739.412728741,181005.48008546524,Westminster,1.8,4.4,11.6,29.4,52.8,10669,13969,51876,25228
W06000001,241794.50875787323,379205.14608585753,Isle of Anglesey,1.1,3.9,13.1,31.2,50.7,2716,6541,16493,3452
W06000002,263904.1118007296,334964.80338192044,Gwynedd,1.0,3.7,12.4,31.2,51.5,5463,11557,28757,6040
W06000003,283989.15656802454,361803.5633623076,Conwy,1.3,4.4,13.5,32.6,48.2,4839,11209,27174,5501
W06000004,309405.6325070955,355776.79749994853,Denbighshire,1.6,4.9,14.1,32.4,47.0,3663,9096,23419,4668
W06000005,322419.46168850904,369652.19767827104,Flintshire,1.3,4.2,13.0,33.3,48.3,5865,13953,46993,7009
W06000006,331798.5836119607,344138.84174545604,Wrexham,1.3,4.8,14.2,34.2,45.5,4839,12429,38453,6084
W06000008,258574.96919706892,263991.2714861287,Ceredigion,1.3,4.2,13.7,32.8,48.0,3722,6734,15454,4210
W06000009,201314.1384535201,221153.72793716917,Pembrokeshire,1.4,4.6,13.6,32.9,47.5,5952,12319,26956,7538
W06000010,251228.03397665365,224512.4495548439,Carmarthenshire,1.7,5.2,14.4,31.5,47.2,7197,17581,46871,10302
W06000011,257445.1137473627,195641.7246252228,Swansea,1.9,5.5,13.9,31.1,47.7,10054,22462,59498,8600
W06000012,279563.3134951787,199348.39267896753,Neath Port Talbot,2.1,6.4,15.1,30.5,45.9,4728,12387,36863,5211
W06000013,289148.5126781008,185340.53845532268,Bridgend,1.8,5.5,14.6,31.8,46.3,5055,12787,40185,5957
W06000014,302810.01395871124,172698.2940790618,Vale of Glamorgan,1.4,4.3,12.8,32.3,49.2,5646,12592,35437,6240
W06000015,316778.32537338784,179542.56059051715,Cardiff,1.7,5.3,13.8,32.6,46.7,17027,32351,97640,13420
W06000016,300744.7982208684,195664.999575671,Rhondda Cynon Taf,2.0,6.3,15.7,32.0,44.0,7846,20990,65567,8986
W06000018,316752.5986896821,195607.6651767803,Caerphilly,2.0,6.4,15.7,32.3,43.6,5540,15112,50176,6610
W06000019,317699.96219053294,208200.65241608588,Blaenau Gwent,2.3,7.0,16.5,32.7,41.5,1946,5641,18817,2395
W06000020,327301.82575919846,200550.6309733758,Torfaen,1.8,6.0,15.4,34.2,42.7,3040,8044,26129,3445
W06000021,340238.2674774335,206910.8711855834,Monmouthshire,1.1,3.8,12.0,33.4,49.7,4443,8602,24311,5474
W06000022,333449.1257473899,186541.4530347321,Newport,1.7,5.5,14.6,33.6,44.6,5764,14887,45562,6576
W06000023,303993.162234532,270452.21387929487,Powys,1.1,3.9,12.9,33.5,48.6,6445,13463,31754,10064
W06000024,306155.9220999942,205464.27378993251,Merthyr Tydfil,2.4,7.1,15.3,30.6,44.6,1832,5211,16279,2313
